front.html                  iFolder Help
overview.html               Overview of iFolder
bv1g15h.html                Enterprise Server Sharing
bq1r10z.html                Benefits of iFolder
bq1r110.html                Key Features of iFolder
bq1r110.html#bq1r111        The iFolder Client
bq1r110.html#bq1r112        Shared iFolders
bq1r110.html#bq1r113        iFolder Access Rights
bq1r110.html#bq655zc        Account Setup for Enterprise Servers
bq1r110.html#bq5xp9r        Access Authentication
bq1r110.html#bq1r118        File Synchronization and Data Management
bq1r110.html#bq63xvh        Synchronization Log
accountsprefs.html          Managing iFolder Accounts and Preferences
bw08fxi.html                Starting the iFolder Client
bvwppw5.html                Configuring Local Firewall Settings for iFolder Traffic
accounts.html               Configuring an iFolder Account
login.html                  Logging In to an iFolder Account
accountdetails.html         Viewing and Modifying iFolder Account Settings
bvwsp7c.html                Deleting an iFolder Account
preferences.html            Configuring iFolder Preferences for the Client
myifolders.html             Managing iFolders
bwagrrn.html                Naming Conventions for an iFolder and Its Folders and Files
createifolder.html          Creating an iFolder
sharewith.html              Sharing an iFolder
sharewith.html#bv2hnvt      Understanding User Access Rights
sharewith.html#bq6lwm0      Adding a User to an iFolder
sharewith.html#bq6lwma      Modifying User Access Rights
sharewith.html#bq6lwmr      Removing a User from an iFolder
setupifolder.html           Setting Up an Available iFolder
propifolders.html           Viewing and Configuring Properties of an iFolder
sync.html                   Synchronizing Files
conflicts.html              Resolving File Conflicts
reverting.html              Reverting an iFolder to a Normal Folder
movelocation.html           Moving an iFolder
deleting.html               Deleting an iFolder
legal.html                  Legal Notices
